Username,Alliance,Governor Id,Power,Kill Points,Kills,T1,T2,T3,T4,T5,Deaths,Resource Assistance,Helps
HoppyBen,,95114031,52.530.327,126.810.006,19.506.573,7.832.229,854.575,902.535,7.842.041,2.075.193,2.156.225,893.204.764,13.309
TheKeff,,71525013,52.471.221,205.298.118,33.376.191,13.938.981,3.054.328,657.469,12.073.647,3.651.766,5.540.670,589.472.112,14.420
ᴹғ Alvan,,57947008,52.409.716,1.167.805.659,108.320.342,10.178.003,4.840.405,4.550.257,63.714.532,25.037.145,8.523.482,11.714.120.917,83.554
亗Scarlett亗,,6868895,52.280.726,534.769.524,38.825.448,522.068,140.418,228.596,22.521.743,15.412.623,6.940.119,4.577.608.501,41.907
ᴹʷ Mark,,66184810,51.716.991,254.315.964,24.339.485,4.645.278,689.947,1.733.076,10.034.897,7.236.287,5.779.635,3.374.617.011,26.962
PigeonPower,,101313110,51.394.378,143.598.354,16.592.139,2.454.842,640.518,2.642.750,8.582.523,2.271.506,798.209,82.707.792,33.237
OtG1,,99878962,51.328.478,304.536.923,25.177.039,1.073.276,233.995,1.094.182,15.603.417,7.172.169,1.207.227,174.613.291,48.224
Causey23,,100573278,51.089.445,39.989.470,4.477.686,471.421,854.915,202.159,2.160.710,788.481,1.267.550,158.274.345,9.306
ᴹғ Soldier,,100413972,51.063.695,832.453.719,67.372.619,1.575.927,1.577.192,1.209.110,43.606.009,19.404.381,2.813.385,5.418.786.315,119.208
CraZy Kakashi,,79327431,50.848.661,242.088.605,26.411.079,6.589.733,535.975,1.202.237,12.677.292,5.405.842,3.134.789,2.134.342.865,55.477
MrBlacк,,84869949,50.841.618,381.446.788,41.802.305,7.839.351,2.348.848,2.292.208,22.042.557,7.279.341,3.790.097,1.678.277.264,78.061
Bry9283,,97153517,50.237.890,125.530.373,14.904.380,2.563.537,1.664.626,998.871,7.585.399,2.091.947,558.723,40.997.297,36.153
ᴱˡ Profesor,,73879725,50.145.291,297.565.554,44.554.273,21.527.299,1.070.238,717.167,13.654.043,7.585.526,3.384.678,2.316.998.497,84.512
ʏᴜʜʀɪ,,89751664,49.829.731,369.307.112,43.347.357,9.903.731,3.637.593,1.941.425,20.500.668,7.363.940,3.525.972,2.714.521.924,49.228
Swagnaty,,69910966,49.814.997,1.333.144.693,140.815.282,8.138.056,8.069.052,14.050.037,95.198.391,15.359.746,5.896.899,2.206.028.606,90.179
The Worst Thief,,5795674,49.800.282,367.594.711,36.988.141,5.548.684,676.933,1.305.672,22.922.862,6.533.990,4.218.151,9.209.117.995,25.839
ᴹғ Tojunn,,96912620,49.629.577,207.275.544,23.213.291,3.158.811,1.639.259,2.618.016,12.305.090,3.492.115,1.453.396,398.651.406,41.894
idemeow,,57319543,49.395.062,664.766.217,82.074.717,23.599.557,2.930.676,4.573.501,38.352.871,12.618.112,6.836.352,7.120.868.595,57.748
Varуh,,88224626,49.229.828,114.322.266,9.440.452,608.158,865.825,131.351,4.475.878,3.359.240,1.181.601,2.744.431.075,51.217
SL RobinHood,,73811603,49.187.473,159.232.791,16.431.647,3.101.664,356.543,392.343,9.529.194,3.051.903,2.228.515,929.573.933,26.237
ᴹʷ eric33,,75658018,49.133.216,208.190.527,17.718.135,829.895,941.907,920.576,9.805.671,5.220.086,4.038.959,881.040.901,58.948
Killua ZD,,81354983,48.871.830,506.762.882,48.952.721,3.942.149,980.612,1.466.042,35.312.930,7.250.988,3.380.866,682.742.340,68.219
FeelSun,,100573865,48.712.108,187.474.396,42.351.671,26.716.638,238.871,989.349,11.044.033,3.362.780,2.681.717,642.021.592,47.936
云 Tenshi,,80650996,48.457.506,295.086.838,32.385.761,6.054.579,1.214.708,2.274.404,17.449.251,5.392.819,3.091.349,3.430.597.432,48.650
Taïg,[MF96],99822634,48.256.952,36.206.576,6.529.423,922.872,2.027.746,1.412.995,1.700.167,465.643,1.458.428,10.922.866,8.292
ᴹʷ QuinnKara,,94972806,48.135.631,190.332.064,25.586.737,8.242.231,2.263.454,902.790,10.301.969,3.876.293,3.603.364,825.706.120,63.500
ᴹғ NightOwl,,100468430,48.010.843,268.800.768,34.844.619,5.597.009,5.485.600,4.179.059,15.166.509,4.416.442,8.113.535,849.977.561,25.264
Contemption,,18818837,47.971.919,145.915.724,13.067.527,941.598,907.052,946.210,6.532.488,3.740.179,3.380.418,4.792.067.100,16.516
ᴹᴜ Sub9luis,,100537856,47.962.257,171.049.413,36.463.985,23.542.543,269.333,651.617,7.681.407,4.319.085,1.467.073,136.569.653,23.770
ᴹғ Badger,,97066768,47.847.615,616.939.203,73.448.139,9.048.086,6.578.499,8.514.702,41.822.326,7.484.526,3.512.803,1.937.163.676,31.972
황신원 of Roseง,,82063710,47.790.085,187.895.096,19.085.016,2.874.692,297.800,610.347,12.176.037,3.126.140,1.821.127,15.924.284.357,33.089
ᴹғ O nang,,100481719,47.748.407,174.004.591,17.298.528,642.343,1.061.104,1.762.926,11.194.089,2.638.066,1.691.309,3.507.760.456,22.362
The Pizza Fairy,,95006678,47.733.862,141.921.773,12.553.335,721.263,512.617,395.734,7.930.507,2.993.214,4.197.775,2.484.594.023,32.543
NoteV2k,,100834629,47.180.000,70.832.915,6.869.133,1.364.633,122.451,171.309,3.458.495,1.752.245,1.533.952,90.173.204,16.397
ᴹʷ Flight,,81426653,47.132.709,160.578.305,21.226.576,8.545.395,239.548,146.130,8.810.445,3.485.058,1.305.081,488.052.942,93.760
ᴹʷ Mensi,,100569779,46.909.522,170.548.593,14.211.016,176.496,1.372.816,610.013,7.570.621,4.481.070,1.131.288,389.880.756,17.672
Conte Nero Jr,,13624776,46.787.014,50.605.532,4.431.686,268.359,53.014,165.423,2.911.366,1.033.524,2.826.415,14.460.749.562,19.337
Døca,,96979981,46.710.381,423.918.893,44.339.709,6.529.335,2.076.972,3.298.128,24.343.891,8.091.383,2.994.509,635.520.222,57.003
Riveg100,,97193744,46.589.313,129.236.875,10.995.985,434.515,651.811,606.005,6.065.075,3.238.579,1.830.009,410.275.212,43.778
云 Muzi,,90111454,46.410.463,236.787.298,43.191.925,15.333.801,6.602.018,4.604.963,13.092.621,3.558.522,3.179.421,1.920.741.540,79.159
m33p0s,,99976473,46.400.882,209.309.186,23.042.863,5.780.240,615.941,765.759,11.376.024,4.504.899,2.353.546,380.528.145,110.554
亗 Douma 亗,,65014316,46.374.607,141.079.925,16.074.765,3.975.617,1.049.359,1.022.801,6.644.488,3.382.500,4.961.800,2.038.197.826,37.474
ᵛᶰシ I KVN,,68917609,46.359.844,624.445.773,104.503.790,49.096.953,3.873.322,4.161.332,35.720.925,11.651.258,6.520.395,4.025.966.942,89.303
亗NanoLink亗,,100681612,46.103.839,208.584.259,55.262.539,32.539.755,3.155.387,3.738.121,13.577.247,2.252.029,2.145.873,136.317.503,30.030
Ferrypenguin ツ,,80276582,46.020.460,100.896.162,10.446.481,1.940.159,245.483,682.671,5.427.688,2.150.480,3.002.394,446.339.451,16.813
ᴹғ乂RAMY乂,,100317641,46.012.710,147.031.274,25.892.510,10.058.238,1.354.099,1.585.402,12.192.560,702.211,1.635.915,785.708.493,46.836
King Naughtÿ,,77548017,45.532.468,90.664.949,11.282.962,1.065.803,1.604.096,1.705.459,5.773.032,1.134.572,1.756.843,4.905.343.986,26.865
ᴹʷBlackDevil,,75912629,45.452.168,212.367.147,36.679.712,15.844.027,2.012.311,2.763.440,12.707.872,3.352.062,4.756.173,2.575.099.005,57.457
亗 RHONK 亗,,100442017,45.120.504,161.215.566,17.876.123,2.502.961,978.598,2.483.892,8.939.123,2.971.549,1.295.249,4.974.276,27.273
ᴹᴜ LYCAN,,86036168,45.082.063,83.471.563,8.795.558,929.417,1.107.587,718.609,4.260.283,1.779.662,1.479.907,428.210.326,41.583
亗 VAHUE ㋛,,78432822,44.990.670,236.851.606,25.934.238,3.929.592,1.109.383,2.284.888,14.750.013,3.860.362,4.532.037,172.015.064,56.342
wakeupgirls,,97239685,44.948.263,234.681.491,30.384.144,6.712.923,3.873.010,2.990.729,12.251.967,4.555.515,1.881.943,607.763.636,44.881
ᴹғNasty,,54929075,44.613.706,126.793.892,15.782.168,4.953.632,688.800,753.034,6.632.061,2.754.641,4.187.331,607.469.730,21.887
LÝ・UwU,,47961779,44.543.166,940.203.421,134.848.547,39.084.887,9.509.333,13.791.267,59.105.849,13.357.211,5.967.159,1.258.266.793,47.776
Øwer,,97118010,44.498.858,175.516.814,14.490.639,304.752,304.120,293.271,9.809.538,3.778.958,2.380.386,423.686.781,45.056
ᴹʷ Negan,,58179899,44.295.456,289.936.068,16.837.232,380.878,440.304,382.386,2.522.354,13.111.310,1.083.644,4.534.113.748,18.916
MOリ,,89988189,44.254.290,235.119.794,25.723.677,6.026.530,1.183.186,618.999,12.882.712,5.012.250,4.096.881,40.000.000,54.136
ᴹʷ SMETANA,,8518311,43.847.743,105.334.302,10.420.270,1.106.222,614.624,292.595,6.542.315,1.864.514,3.057.152,1.086.755.213,16.580
ᴹʷ Shimo,,56605277,43.535.012,152.097.937,17.279.545,3.660.975,1.291.117,771.282,8.542.504,3.013.667,2.029.422,1.828.051.861,16.597
云 Husniddin,,81417198,43.251.942,215.801.041,40.490.091,20.385.913,1.640.581,2.148.324,12.645.606,3.669.667,4.598.818,1.167.124.196,52.735
folletto,,56863509,43.155.143,412.700.920,31.829.601,1.094.661,1.064.539,386.655,17.686.863,11.596.883,8.844.209,1.441.075.656,39.168
ᴹᴜ Rolys,,100475553,43.096.423,171.590.062,18.304.822,2.505.659,259.714,789.118,12.759.359,1.990.972,1.014.470,771.353.281,34.640
ᴹғDengShu,,96864975,43.033.848,115.391.715,10.975.654,532.515,508.635,933.923,6.947.937,2.052.644,2.273.626,755.368.486,27.100
Bacon4Free,,100542972,42.850.395,1.851.135,464.035,149.054,106.211,94.143,106.021,8.606,170.465,26.479.955,4.996
Diablo 亗,,62343699,42.746.320,636.199.818,62.338.891,5.489.650,1.721.495,4.370.017,40.097.575,10.660.154,7.508.317,6.363.794.397,8.301
云 Nur4a,,81387556,42.714.413,83.981.458,6.766.262,176.948,70.127,110.461,4.481.055,1.927.671,3.189.221,1.259.157.437,29.280
ᴹғ KoLia,,100067352,42.703.989,308.837.480,35.678.787,5.931.990,2.217.978,3.846.399,18.581.887,5.100.533,2.879.658,115.066.556,33.259
황신원 of Rose ำ,,17026659,42.687.245,50.246.536,3.872.634,267.880,28.392,6.359,2.128.932,1.441.071,4.749.724,20.442.025.990,28.993
Empress Amitis,,78213567,42.612.094,18.137.188,8.184.055,4.643.860,1.840.203,813.845,745.031,141.116,585.870,269.789.407,20.240
JWillTV,,98351693,42.583.791,76.619.767,8.402.743,583.417,882.329,800.219,5.119.801,1.016.977,919.154,0,17.349
亗Medea亗,,60675620,42.566.768,68.496.718,7.307.856,744.109,486.838,690.175,4.312.116,1.074.618,1.764.982,496.580.885,18.077
亗 JADE 亗,,27244093,42.519.416,86.865.708,6.608.898,303.530,66.600,37.938,3.749.655,2.451.175,3.621.653,17.423.716.895,30.685
Amthala III,,64153054,42.411.429,32.261.860,2.743.793,123.812,86.132,19.466,1.830.069,684.314,866.065,5.916.405.883,2.853
ᵀᵂ sake,,81363383,42.267.397,169.400.582,13.231.898,316.881,549.056,243.896,7.517.779,4.604.286,2.588.934,850.719.931,67.400
JackieVee,,94045752,42.191.636,21.505.919,3.119.866,615.117,786.813,419.100,784.385,514.451,247.969,360.879.491,21.779
ᴼʂRoku,,81226789,42.133.717,255.276.319,22.457.241,2.723.886,221.925,118.678,13.404.206,5.988.546,3.435.353,799.281.149,56.979
ᴹʷ Crazy,,75719149,42.067.833,150.215.281,11.853.305,157.195,271.808,112.799,7.704.103,3.607.400,2.054.264,952.972.864,26.673
亗 Stinky 亗,,100137584,41.929.832,219.342.175,27.580.260,4.340.035,2.784.001,3.929.584,13.334.497,3.192.143,3.026.908,1.388.043.894,23.173
ᴹғ Agro,,99855008,41.646.005,86.981.746,21.111.111,7.916.479,4.716.111,2.889.847,4.736.664,852.010,1.301.425,101.927.615,35.851
Đimitri,,65894242,41.536.996,364.648.796,34.180.163,1.633.332,1.289.304,1.623.348,23.743.345,5.890.834,3.656.865,2.686.759.662,58.736
xXGodOfSirenXx,,77130440,41.263.415,218.142.627,24.691.264,2.240.315,4.173.375,1.979.856,12.452.597,3.845.121,2.675.951,362.378.632,38.028
ᴹғ DmGBoZz,,100836990,41.134.203,102.473.070,8.877.773,253.448,95.321,196.007,6.521.223,1.811.774,1.233.335,808.595.207,20.548
亗DarthAce亗,,100648782,40.565.432,224.494.801,32.755.328,6.187.315,5.851.373,4.317.868,13.369.232,3.029.540,2.421.477,4.611.609.460,31.789
人Phoenix人,,4665061,40.273.511,28.668.603,2.568.448,8.554,258.746,418.680,1.117.468,765.000,5.214.609,14.403.624.362,16.088
Allies Ackerman,,85274863,40.147.113,356.962.632,36.841.443,5.020.891,1.369.490,1.578.656,23.054.327,5.818.079,3.533.452,1.152.633.899,126.856
SweetCherryPie,,19565019,40.064.322,4.914.286,1.321.730,321.899,154.154,685.087,141.055,19.535,1.139.801,5.136.279.617,16.480
AwanSenja,,85342057,39.942.295,345.824.621,34.884.877,4.718.625,681.181,1.314.941,22.514.383,5.655.747,3.891.400,1.021.590.699,125.798
Cpt Rscl,,18508765,39.846.485,103.279.878,11.594.311,144.509,829.960,2.304.639,7.393.156,922.047,1.938.123,20.886.575.525,19.869
capitán  Anyer,,71726020,39.819.367,69.866.304,7.818.409,1.334.181,347.042,762.011,4.164.616,1.210.559,4.167.844,1.128.818.837,30.309
Abbex,,13708706,39.761.405,52.574.855,3.970.067,97.645,16.180,141.709,2.233.453,1.481.080,3.621.446,9.893.725.124,12.456
ᴹᴜLogRhythm,,100519075,39.502.192,19.357.760,1.387.987,2.269,4.574,15.012,803.453,562.679,2.061.673,310.929.866,13.191
Horniacos,,100865702,39.385.326,27.175.040,31.687.034,29.292.901,175.743,404.741,1.692.697,120.952,228.398,367.999.999,32.445
Dark star1999,,100718159,39.174.603,168.270.550,36.408.633,17.166.720,2.667.368,3.973.210,10.841.707,1.759.628,2.310.235,442.529.138,9.357
ᴮᴼ AlariX,,100488126,39.161.795,72.122.977,15.898.511,2.112.285,6.925.432,2.956.954,3.205.496,698.344,2.287.587,307.025.145,14.987
亗 Grugsey 亗,,100488045,39.154.355,54.825.006,9.866.715,1.662.840,2.752.704,1.396.600,3.769.079,285.492,581.470,2.989.830.764,35.154
BRoSE,,99741613,39.059.589,16.600.377,4.046.924,2.429.855,139.729,48.602,1.293.422,135.316,436.085,264.644.950,26.421
BbBambino,,100615293,38.854.566,139.345.688,38.545.296,26.073.940,1.465.089,655.478,7.843.697,2.507.092,1.880.013,42.410.553,85.561
Adorablez,,17067097,38.656.855,38.747.458,3.305.779,183.032,21.946,66.930,2.227.818,806.053,4.109.102,9.635.543.656,9.661
GoldOnlyFan,,9121407,38.640.351,14.876.283,1.722.867,215.664,163.543,306.786,745.856,291.018,164.829.325,10.707.726.494,9.316
SULTAN AMMAR 2,,70562239,38.624.969,192.595.836,22.968.910,1.405.209,4.059.779,2.768.004,12.159.514,2.576.404,6.421.390,4.723.203.112,25.082
ᴹᴜ PROF 89,,3398211,38.497.509,35.051.234,3.940.306,971.730,12.110,22.472,2.393.710,540.284,4.070.080,4.193.685.299,15.576
VIVA MEEEEXICO,,100296272,38.436.298,86.146.070,13.222.881,4.507.608,647.126,713.884,6.599.050,755.213,296.719,1.420.555.586,10.850
ᴹғ Eirini,,99855847,38.399.016,152.610.114,23.309.906,7.409.790,2.257.028,2.677.650,8.340.526,2.624.912,2.874.627,1.101.672.425,42.689
ᴹᴜ Vishal01,,44969616,38.395.123,25.265.165,2.393.687,108.573,240.520,103.385,1.447.531,493.678,649.527,23.618.304,10.836
bogartism,,84684333,38.361.117,102.690.564,22.672.894,14.486.308,553.499,493.886,4.607.326,2.531.875,1.828.731,470.623.620,39.197
BillHiggins,,97184779,38.145.812,46.109.887,3.392.908,23.196,50.808,12.648,2.017.208,1.289.048,1.338.036,57.310.000,23.930
ᴹғ Chinito,,97027929,38.097.048,142.904.070,14.535.763,983.508,1.754.273,1.085.333,7.939.549,2.773.100,1.808.658,823.944.228,33.863
亗SKYWALKER亗,,96900137,38.027.530,267.715.365,27.753.954,1.706.115,2.549.425,2.976.823,16.006.382,4.515.209,3.533.312,1.326.892.195,24.833
CaptainFrank06,,96944295,38.012.900,10.149.505,1.376.184,84.185,153.682,283.716,840.158,14.443,258.401,23.400.000,7.725
ᴹғ tuna,,100001665,38.007.436,131.327.260,10.302.202,233.818,456.512,183.493,5.893.408,3.534.971,1.556.283,0,25.065
Lëē,,23083474,37.682.792,17.036.286,1.758.424,68.729,0,0,1.677.136,12.559,938.193,6.181.429.586,6.798
亗 A Law 亗,,85082981,37.617.560,336.456.870,41.442.007,6.793.291,2.016.221,3.415.280,26.693.965,2.523.250,3.186.068,2.461.216.379,48.678
Whale 1,,91197981,37.607.137,88.155.700,16.000.738,5.521.209,1.640.310,1.490.007,6.917.343,431.869,845.876,12.275.229.174,48.078
HERCULES Q8,,95031706,37.418.554,12.704.356,2.042.859,301.368,370.292,447.707,835.717,87.775,746.370,173.235.359,8.711
ᴹғ DRACULE,,89577843,37.394.717,167.511.714,13.946.225,543.348,790.098,238.187,8.262.174,4.112.418,2.678.077,3.461.628.277,50.263
MonchiMuni,,18796787,37.365.353,17.216.804,1.389.477,100.228,5.961,65.074,743.974,474.240,2.137.678,5.476.535.929,4.248
ᴹᴜ Kubinec,,49083134,37.330.075,35.809.826,4.165.319,500.182,688.205,244.660,2.129.070,603.202,2.296.642,833.404.946,18.765
BaTmAn BeYoNd,,100138600,37.325.081,179.183.311,33.027.528,10.648.547,5.044.038,3.808.494,11.879.743,1.646.706,3.744.582,821.317.792,33.688
Męli,,90781866,37.298.517,201.121.138,21.514.651,2.749.118,1.006.773,871.792,14.266.876,2.620.092,3.398.030,33.047.763,11.114
ᴹᴜplohoi,,100619897,37.260.853,22.369.711,1.939.177,59.856,238.009,29.428,1.047.367,564.517,783.280,16.120.060,28.440
SoulTerminator2,,1494791,37.045.825,8.114.674,769.924,78.352,3.220,24.746,527.854,135.752,1.064.299,12.138.336.472,6.513
PetasanBanting,,85320259,37.001.606,235.887.952,28.204.379,8.937.848,560.858,550.014,13.233.457,4.922.202,3.191.298,727.655.500,94.156
tokio II,,60245425,36.971.722,18.316.613,2.545.860,599.235,288.851,64.981,1.449.672,143.121,2.361.250,2.984.845.662,9.325
Karim20,,100464090,36.885.289,96.274.288,21.841.868,4.195.572,6.620.035,5.472.961,5.076.274,477.026,587.154,31.708.627,22.811
乂 lxAM 乂,,30323029,36.742.470,92.954.741,37.683.837,31.691.216,355,160.372,3.066.358,2.765.536,1.005.101,473.071.295,15.700
Beerus koteka 4,,18953976,36.730.640,103.064.783,8.254.936,205.615,171.240,261.690,5.069.340,2.547.051,5.478.378,11.525.480.657,17.115
S Tello,,100575004,36.701.492,29.417.292,4.273.731,421.298,1.316.214,740.176,1.218.096,577.947,322.430,18.923.612,30.077
ᴹғ Asthoras,,99855512,36.670.513,52.501.870,5.976.720,656.041,521.959,614.541,3.481.500,702.679,130.317,170.471.989,14.381
亗Hiền 亗,,99682083,36.636.083,64.357.802,24.754.898,13.293.030,4.569.324,3.699.242,2.610.246,583.056,1.192.018,208.227.549,23.403
PERILOUŚ,,99837273,36.592.811,86.842.649,8.466.377,324.217,226.985,1.009.134,5.583.352,1.322.689,2.322.825,2.424.710.369,27.989
ĿǾǾṜᶁ,,89382283,36.412.671,289.319.378,35.220.471,7.883.529,2.402.737,1.221.782,19.619.839,4.092.584,3.048.276,592.079.570,72.177
NeefManBro,,87647707,36.368.865,322.627.081,32.878.367,5.495.727,1.679.041,1.303.636,17.504.395,6.895.568,5.095.162,625.371.509,39.134
亗 TITANIC 亗,,80922880,36.363.978,28.181.022,2.872.608,117.171,84.409,198.195,2.226.067,246.766,1.586.175,2.038.837.766,23.352
WildJag,,83117640,36.348.294,109.900.909,11.096.984,1.152.083,882.318,341.779,6.787.734,1.933.070,2.084.712,1.076.318.336,18.973
ᴹʷDembe,,88122737,36.287.993,231.506.447,28.814.872,6.048.214,1.522.802,2.537.325,15.702.872,3.003.659,7.652.021,7.274.561.067,40.021
亗King Ash亗,,95159524,36.226.788,105.509.891,11.273.385,235.985,656.615,2.384.936,6.530.726,1.465.123,1.482.067,424.371.864,30.837
Skinnybonesd73,,97188379,36.216.180,91.442.439,11.061.000,1.541.157,1.194.351,1.535.909,5.318.979,1.470.604,1.613.711,182.946.394,28.804
bonitha,,85323280,35.956.594,260.411.648,28.289.240,5.903.879,907.705,1.254.498,15.206.569,5.016.589,3.047.931,725.699.819,85.741
乂VnL malf乂,,57570823,35.953.720,4.001.416,409.323,0,0,30.214,370.162,8.947,273.934,1.502.818.428,1.755
Mike Ice,,100818466,35.787.392,529.038.569,56.126.781,4.562.084,384.026,468.665,48.875.668,1.836.338,1.564.181,497.065.019,35.433
Zaddy Zoggy,,94540707,35.761.187,370.329.429,62.247.681,15.003.694,7.998.391,15.136.712,19.139.262,4.969.622,4.486.535,783.145.073,45.104
ILPX,,99980862,35.723.003,298.610.840,37.090.395,5.624.448,2.520.834,6.597.458,18.089.865,4.257.790,1.852.510,239.082.906,26.838
ᴹғ NㅌMO,,100467391,35.669.618,59.212.513,5.519.991,180.744,238.573,184.072,4.036.911,879.691,2.789.136,500.000,16.156
ᴹғ Anunnaki,,99846945,35.632.121,22.276.607,2.370.313,392.116,293.578,215.377,863.532,605.710,444.976,35.000.000,42.449
亗FrøwZen亗,,93020873,35.599.755,106.329.867,16.125.580,3.976.544,2.499.792,1.790.276,6.380.549,1.478.419,937.304,1.704.423.637,25.125
PhongLau,,95159511,35.542.152,148.941.489,16.702.771,3.752.354,920.135,1.155.762,7.576.270,3.298.250,930.240,50.084.716,28.555
z a i t h,,77371812,35.513.977,125.892.540,13.146.180,947.869,2.079.068,1.394.390,5.852.979,2.871.874,4.557.468,331.063.797,40.634
BLADE ツ,,63853821,35.513.294,72.311.155,14.312.958,2.097.487,4.926.712,3.025.726,3.532.533,730.500,1.233.637,343.785.963,39.767
ᴸᴹ SATANAS,,97133842,35.495.641,25.936.943,3.101.944,238.053,695.414,154.466,1.639.958,374.053,944.368,1.448.399.096,26.582
ᴹᴜ NEXON,,100432861,35.408.821,5.366.549,757.937,107.846,206.012,73.799,276.784,93.496,27.536,24.060.447,21.453
mïnïC L A N G,,68565514,35.382.390,31.172.757,5.892.916,1.488.596,1.787.706,305.964,2.013.723,296.927,1.921.018,877.028.197,7.310
ᴹʷNightヮô,,81323747,35.361.607,204.995.936,31.735.037,14.263.521,703.053,1.045.294,11.790.743,3.932.426,3.328.572,1.569.795.233,29.407
ᴼʂ SATANAS,,98443991,35.348.451,81.708.542,8.308.916,287.091,360.280,644.571,6.198.720,818.254,1.398.647,988.372.719,34.133
Farmer Hama,,71092520,35.295.227,933.139.259,104.607.097,14.953.627,4.301.111,6.611.098,67.972.330,10.768.931,5.197.558,3.817.838.117,92.303
ᴹʷ KRS,,100471662,35.096.328,76.420.028,7.526.769,503.069,764.572,677.660,3.954.973,1.626.495,1.394.339,225.446.346,17.304
ᴼʂ Ant,,94744534,35.017.203,163.734.252,24.942.668,11.434.868,1.199.316,680.114,7.623.921,4.004.449,2.145.845,130.729.688,12.029
RikeA 00,,93009113,34.789.387,171.173.366,42.970.827,12.521.130,7.771.410,12.900.015,9.403.918,374.354,2.141.091,18.587.614.181,66.186
Ivanᵖʸʳᵒ,,100838031,34.678.780,9.406.629,865.312,37.016,89.992,33.073,501.767,203.464,124.773,14.407.111,12.587
ᴼʂ Stress,,100718308,34.615.488,8.607.653,3.675.208,1.719.365,1.442.580,46.485,414.288,52.490,152.669,16.400.000,9.782
fighter Q8,,95050380,34.610.654,56.264.086,6.870.433,265.371,527.866,1.940.295,3.534.392,602.509,2.854.574,195.579.286,24.226
VegVisir,,100423662,34.577.769,82.563.524,10.570.645,1.896.648,825.438,1.292.107,5.576.415,980.037,993.225,23.381.698,18.014
亗BunBun亗,,100656329,34.524.129,47.714.611,6.691.348,607.605,2.372.698,732.881,1.964.711,1.013.453,635.381,31.193.682,25.885
AkāŁi,,93184426,34.496.537,143.538.043,62.132.858,45.955.117,4.223.354,1.774.903,8.478.898,1.700.586,1.713.866,4.435.166.319,53.798
ᴹғ Mrs Alvan,,89570193,34.494.780,61.322.664,8.558.928,2.396.712,412.886,495.230,4.704.537,549.563,1.282.471,1.473.867.773,30.863
ᴹʷEngr PJ,,81324595,34.476.026,123.911.194,11.608.168,1.138.350,1.100.063,300.872,6.109.775,2.959.108,3.892.131,3.038.179.992,35.754
ᴹғ 闇Nacht,,89540045,34.256.470,226.026.503,29.067.158,10.812.606,1.053.511,764.150,11.003.746,5.433.145,3.185.840,2.921.995.650,45.753
亗 Fenix1o,,100676809,34.146.782,65.821.163,7.213.192,620.654,1.341.146,497.005,3.406.102,1.348.285,1.780.446,330.666.831,43.182
ESD一,,100510770,34.116.685,134.036.968,15.288.145,3.373.989,1.145.022,1.174.859,6.551.281,3.042.994,1.712.492,863.126.680,28.152
ᴼˢBeatrice,,81360352,34.086.352,28.236.154,3.093.313,416.730,169.237,102.071,2.069.945,335.330,530.347,1.427.193.554,14.748
ᴹᴜ Apofis,,100737138,34.044.801,22.741.399,3.488.565,635.264,366.289,601.777,1.823.004,62.231,644.234,4.164.438,22.508
ᴹʷ MOHAMMEDツ,,93714458,34.022.075,46.722.921,7.717.877,2.347.427,1.248.689,788.257,2.606.705,726.799,2.149.896,272.460.696,30.429
ᴹғ ATHENA,,99620283,34.001.615,44.991.637,11.099.037,6.625.353,282.072,1.070.763,2.359.761,761.088,2.066.327,64.000.000,27.874
ᵛᶰシMinhSang,,100074029,34.000.569,211.480.514,32.406.972,9.351.159,2.056.271,4.109.780,14.873.662,2.016.100,2.805.036,338.435.657,20.061
ˢʷᵇRichᴿ,,71966610,33.874.957,56.712.165,13.369.944,2.954.493,3.092.708,4.613.200,2.270.781,438.762,3.770.950,3.090.781.878,32.775
Lions㋛Heart义,,89392448,33.810.977,50.401.630,19.950.630,15.334.080,729.141,256.193,2.777.256,853.960,2.056.838,79.560.532,21.479
乄PetankSr乄,,99748633,33.789.481,194.418.707,28.229.939,8.377.877,1.828.316,2.651.945,12.895.730,2.476.071,2.581.495,52.474.699,47.572
ᴹᴜ Cara,,100468561,33.769.345,59.076.264,7.280.411,2.392.578,53.091,240.854,3.434.961,1.158.927,2.587.283,4.231.234.533,58.375
ᴹᴜ Mafra023,,98337889,33.762.104,65.043.855,14.569.085,8.363.445,547.593,335.475,4.551.736,770.836,1.023.956,105.440.759,27.331
ImStuckSiren,,99763771,33.755.492,306.644.368,28.836.526,2.744.388,1.102.581,828.202,18.264.958,5.896.397,2.385.570,621.901.986,45.434
03IsTrash,,47979351,33.747.083,24.740.357,2.676.265,411.775,296.368,158.784,1.275.663,533.675,867.884,8.180.243.627,5.847
ᴹғ musthave,,99680840,33.745.599,12.747.094,5.624.318,2.806.288,1.758.291,408.596,598.799,52.344,161.096,270.603.835,21.954
ᴹʷA1ricks,,74277046,33.734.187,35.338.955,3.490.783,132.643,214.528,108.785,2.624.831,409.996,819.017,780.870.486,83.035
Syz20,,84690106,33.685.686,67.001.810,16.801.537,10.362.529,1.249.270,318.146,3.627.366,1.244.226,1.282.850,663.561.094,56.376
ᴹғ Nureeno,,100465144,33.632.246,102.036.582,15.502.953,2.053.011,2.340.723,4.098.701,5.966.063,1.044.455,1.505.835,62.880.704,80.960
ᴹʷ Caius,,82297302,33.542.568,60.140.743,4.575.185,128.967,43.013,62.501,2.703.516,1.637.188,2.728.936,1.887.772.955,19.633
