Username,Alliance,Governor Id,Power,Kill Points,Kills,T1,T2,T3,T4,T5,Deaths,Resource Assistance,Helps
Capt人 Siren,,9117474,76.227.374,1.357.822.490,115.195.735,3.782.570,1.987.138,4.008.435,77.129.388,28.288.204,14.767.408,12.392.698.506,125.277
Woodland rouge,,18863799,76.105.664,787.964.064,65.847.182,1.401.560,775.927,1.270.747,46.693.005,15.705.943,6.696.260,4.813.460.665,56.770
Swiggyy,,13692396,75.996.533,3.066.990.761,229.025.938,6.788.595,5.297.974,7.407.406,116.523.179,93.008.784,21.063.180,7.787.810.256,123.964
ˢʷ LoKa 3,,33409112,75.889.348,1.514.261.826,110.865.301,10.010.432,1.103.959,705.743,47.367.449,51.677.718,14.106.210,5.571.633.012,246.139
亗 Light3 亗,,2581501,75.875.570,3.560.711.922,306.680.285,47.629.471,2.615.891,4.779.474,150.627.263,101.028.186,17.150.561,6.824.503.909,104.841
bootypatrol,,18727338,75.708.151,1.795.587.413,145.607.266,8.968.753,1.780.477,4.172.342,84.017.054,46.668.640,13.845.336,10.765.680.769,64.353
Master Groot亗,,3242381,75.084.107,2.550.987.453,202.216.044,2.807.604,3.087.805,3.340.318,132.871.729,60.108.588,11.213.007,10.929.545.213,120.159
亗ĞØŘĘČ,,62306710,74.717.727,1.055.792.188,79.103.954,1.362.130,1.110.335,697.588,46.816.928,29.116.973,6.347.194,489.387.318,116.183
SMILE 96,,59657964,74.456.034,150.504.352,15.829.949,1.239.379,1.114.844,1.422.317,9.873.066,2.180.343,1.884.099,2.097.413.048,52.772
Johnthree16,,12432004,74.422.939,1.231.530.198,92.400.324,929.251,368.550,688.717,58.042.374,32.371.432,12.356.284,19.762.895.973,64.058
因Podönglee,,13703880,73.594.625,2.435.471.570,175.018.088,1.548.482,1.282.648,1.073.502,99.396.655,71.716.801,16.696.581,4.752.107.281,70.024
Nîkølînø,,13466074,73.558.002,1.198.612.659,104.689.512,21.108.357,460.121,3.401.474,41.452.635,38.266.925,12.800.431,6.882.029.857,81.625
Kev J,,28812895,73.395.451,1.808.869.570,148.398.524,9.269.752,3.287.893,2.215.471,88.093.021,45.532.387,7.994.324,2.607.210.897,109.472
SoIotov,,10763872,73.334.875,1.102.670.384,102.420.450,16.247.931,2.937.440,2.049.657,53.836.115,27.349.307,10.741.941,6.896.807.011,70.569
ᴹʷ Egy King,,59816386,73.303.612,438.768.794,37.604.371,1.592.261,1.544.899,1.050.511,23.717.550,9.699.150,8.170.845,1.125.688.205,37.931
亗SIR JESUS亗,,4785581,73.114.718,2.759.962.497,206.231.606,11.540.995,2.626.789,3.506.870,103.276.580,85.280.372,20.009.049,9.265.173.674,170.386
Beerus Koteka,,13346138,72.289.891,1.427.249.974,119.681.406,21.180.351,658.984,449.694,52.795.038,44.597.339,16.763.281,1.356.287.412,103.122
Ppax,[MF96],100876948,72.271.240,245.747.243,30.711.832,5.359.143,3.200.370,2.699.146,16.158.537,3.294.636,2.461.173,1.084.730.247,23.313
ʎɐɟ,,13320153,72.207.140,2.087.389.705,142.237.617,1.868.653,601.279,849.019,69.595.598,69.323.068,16.733.187,10.640.464.154,65.303
亗Sabinaria亗,,5221364,72.079.462,618.308.835,44.696.342,723.736,198.546,354.414,25.204.358,18.215.288,8.226.515,6.971.095.804,79.663
Mysterious Bear,,16936457,72.070.037,413.467.338,34.330.788,629.518,309.534,602.614,24.547.053,8.242.069,8.955.959,3.776.067.605,24.925
CactusB,,41257716,72.047.308,764.676.075,71.062.283,14.081.203,1.141.134,672.969,34.645.385,20.521.592,6.714.765,1.400.329.330,72.510
亗 Withers 亗,,7792182,72.026.729,3.757.417.610,315.102.074,30.389.840,3.076.854,9.493.621,173.562.373,98.579.386,10.195.622,5.464.542.643,96.025
亗 Marv 亗,,4771256,71.710.067,575.190.004,48.058.010,717.632,775.269,1.444.895,33.468.792,11.651.422,7.771.849,13.903.380.346,119.088
ᴹʷDuke3D,,58339633,71.702.170,219.738.417,43.936.262,24.851.774,2.718.129,521.201,10.965.616,4.879.542,3.411.188,1.608.120.447,55.665
ATHEFHASAN,,68200971,71.173.681,567.870.381,43.652.334,468.185,1.469.894,320.559,26.431.920,14.961.776,4.672.356,8.662.076.874,81.634
ŸùŁīá,,22534779,71.123.887,866.535.444,64.857.932,2.848.362,93.837,193.822,36.943.541,24.778.370,5.332.117,9.273.927.924,85.754
因ᴊᴀMᴇs,,26448272,71.111.750,1.370.178.068,95.613.428,1.055.318,395.028,362.087,50.829.130,42.971.865,6.462.361,3.492.367.412,230.827
云 EmmaRose,,12902378,70.758.470,292.649.438,23.994.210,544.062,504.601,959.541,15.202.686,6.783.320,5.211.710,9.263.984.597,32.195
Sofakinghard,,18692492,70.718.446,1.537.668.308,153.475.540,22.324.352,3.986.666,8.182.099,88.714.675,30.267.748,12.350.440,11.224.668.374,47.016
eSome,,17846609,70.130.154,2.362.160.305,182.348.428,4.106.124,1.467.365,3.392.480,112.281.475,61.100.984,13.051.837,3.467.345.886,130.113
Minas土DLuffy,,28378718,69.922.188,396.601.546,35.468.248,2.821.551,1.090.581,896.711,22.291.887,8.367.518,6.619.783,561.871.174,19.466
ᴹғ Amlak,,8586518,69.915.346,2.614.095.038,186.982.234,1.335.152,698.172,1.064.736,106.951.076,76.933.098,21.794.111,15.383.295.083,83.207
Dr Jerkberg,,80106565,69.834.533,367.185.143,27.201.189,489.116,404.641,141.407,15.760.809,10.405.216,3.206.384,194.792.332,33.022
Maiden of Ice,,20597573,69.714.892,834.621.305,72.126.764,2.600.425,1.238.180,1.934.880,50.318.024,16.035.255,10.407.573,3.550.155.876,162.556
ᴹғ NorthKing,,99975620,69.634.996,394.719.336,50.914.052,7.589.328,7.200.614,6.743.758,23.578.183,5.802.169,2.620.128,705.581.470,56.579
ᴹʷ Lord Dark,,60839961,69.394.040,524.178.504,41.175.473,2.154.361,305.803,930.639,23.627.993,14.156.677,3.932.937,3.410.208.496,88.648
亗 KONAN 亗,,26732057,69.228.385,1.679.944.973,122.014.169,1.058.023,479.887,1.170.751,71.201.957,48.103.551,17.216.783,6.229.114.010,28.907
亗 Tricky 亗,,45927387,69.173.902,1.643.556.333,159.868.470,20.082.137,3.785.186,3.785.636,102.748.323,29.467.188,6.747.022,8.843.420.886,58.940
Capt Hurk,,11127768,68.760.009,1.019.487.279,84.874.659,3.764.707,2.503.361,2.054.159,52.553.766,23.998.666,7.581.812,4.456.330.268,32.849
ᴹʷ Belle,,72974109,68.161.772,752.783.668,84.324.981,15.063.811,6.266.310,3.715.529,46.321.045,12.958.286,3.939.239,7.801.410.111,96.648
Ass Connoisseur,,41759645,68.075.367,3.047.981.157,241.026.815,9.235.127,1.971.592,4.409.712,148.365.558,77.044.826,11.907.731,3.135.643.313,141.448
Albrek76,,41779623,68.074.863,1.512.047.587,128.301.404,15.533.353,2.531.570,4.290.799,63.219.906,42.725.776,8.750.101,1.862.580.477,135.351
The Whispering,,52600032,67.957.469,398.388.800,39.914.919,4.180.992,4.265.545,2.130.018,20.626.584,8.711.780,5.287.966,5.142.833.211,74.492
Hosier,,33004567,67.875.148,911.013.858,64.533.571,703.040,261.312,253.469,35.697.825,27.617.925,6.935.602,2.060.273.374,58.950
因AthenaJV,,9815339,67.799.409,2.087.069.419,158.083.830,5.182.844,1.386.358,2.249.791,91.103.577,58.161.260,27.429.227,11.538.451.620,107.651
亗OBITO 96亗,,43631224,67.706.154,2.236.282.820,156.790.606,2.419.362,1.182.183,2.478.878,79.068.459,71.641.724,12.192.459,6.169.726.417,174.953
ᴹғChezDeluxe,[MF96],99894737,67.557.271,228.299.899,30.675.741,1.966.173,3.788.268,7.131.937,16.398.488,1.390.875,1.441.198,126.489.445,50.727
ᴹғ Tacobell,,4821871,66.618.981,1.172.066.311,124.515.481,18.041.875,4.517.413,11.262.175,69.950.595,20.743.423,7.858.963,14.734.685.696,62.268
King Eddy Js,,13338546,66.523.660,1.973.992.183,145.366.021,2.125.266,840.831,2.319.152,83.900.658,56.180.114,16.474.252,29.322.087.543,96.453
亗Fatty亗,,53573536,66.491.827,1.368.684.713,106.707.166,1.597.337,1.429.193,1.778.100,67.965.626,33.936.910,8.122.883,2.387.387.682,95.631
LucioVoreno  IR,,16864447,66.173.860,191.084.325,14.162.216,207.653,121.748,197.172,8.270.225,5.365.418,2.935.895,3.720.835.567,35.268
因Gamora,,5886477,66.024.145,1.242.421.291,87.110.206,1.607.256,556.093,544.956,44.923.019,39.478.882,17.993.955,4.288.970.046,67.026
ManBitesDog,,36734461,65.938.462,621.792.567,51.543.851,1.986.024,1.155.730,2.098.118,31.538.815,14.765.164,8.104.217,3.730.391.951,92.876
BöyBisäya,,56481575,65.934.031,291.915.677,29.574.992,1.419.844,2.512.142,2.064.311,19.322.372,4.256.323,3.384.445,3.357.714.233,57.121
Mister Cøøl,,31455238,65.919.685,344.874.782,32.636.872,1.303.941,1.290.138,3.318.257,20.573.003,6.151.533,6.038.809,6.764.055.735,35.620
WAR CRIMES,,12503682,65.850.700,902.835.018,78.253.308,7.498.798,294.746,354.009,50.278.537,19.827.218,9.469.391,7.278.218.595,72.700
ˢᵒᵘˡUdyat,,4295995,65.772.374,1.564.732.147,134.894.897,8.528.653,1.937.017,4.578.183,85.618.123,34.232.921,15.323.229,5.301.955.586,113.465
ᴹғ Trauma,,100521328,65.749.691,1.354.154.215,120.156.508,4.423.575,3.837.647,6.063.574,79.529.433,26.302.279,6.986.169,5.830.864.586,18.733
GeneralHoff,,15945636,65.723.539,907.686.420,78.065.244,4.178.590,883.120,1.605.928,52.929.137,18.468.469,9.697.934,3.791.591.811,46.004
Elena of Troy,,40807334,65.701.019,1.123.439.121,89.807.403,6.058.717,1.071.907,2.082.016,50.013.976,30.580.787,10.573.438,15.950.549.578,247.959
ᴹᴜ Perkola,,100475085,65.610.741,309.207.174,41.088.783,12.893.159,1.381.457,2.475.292,19.281.304,5.057.571,1.437.292,621.224.103,82.203
土Clacla77,,9852467,65.418.874,536.758.800,44.746.969,5.078.768,311.475,426.609,24.518.868,14.411.249,9.545.491,3.722.500.513,78.683
ᴹʷLord DIO,,44419387,65.243.214,648.671.650,51.345.136,3.544.991,463.864,588.311,29.027.772,17.720.198,6.647.180,3.671.257.416,60.297
GU69,,100515613,65.172.186,197.267.217,19.332.067,759.296,1.632.700,2.651.922,10.252.071,4.036.078,2.304.489,1.759.456.920,8.465
因Mᴏᴏᴊɪ,,13485666,65.135.359,937.458.266,67.403.634,830.688,510.342,1.012.066,36.878.758,28.171.780,11.312.263,7.098.124.018,101.576
Yàáj,,13051262,64.488.086,3.376.951.231,231.585.637,3.422.687,897.900,3.446.891,111.567.985,112.250.174,34.779.629,10.232.708.568,83.128
CrazyReborn,,27955327,64.249.311,519.956.722,40.035.634,1.175.748,588.517,671.862,23.613.305,13.986.202,8.831.024,3.661.988.599,58.994
Message Me,,41781767,64.186.012,457.780.550,34.886.520,872.130,619.514,467.589,20.404.900,12.522.387,5.349.596,1.119.342.743,60.091
鸭 Scrooge,,64296000,63.853.039,554.427.825,44.848.382,918.777,1.235.426,467.107,29.463.665,12.763.407,3.925.420,1.605.451.645,93.190
ᴹʷGene,,80992408,63.807.411,613.971.475,50.671.861,4.350.274,741.968,432.386,29.305.672,15.841.561,3.717.291,1.997.267.082,82.690
亗Mongo 亗,,6620923,63.780.913,1.487.053.051,124.265.764,1.307.743,827.347,3.785.552,89.690.784,28.654.338,8.809.690,3.342.565.677,84.067
亗 Kein 亗,,49694488,63.731.893,1.140.304.624,140.745.375,42.582.838,5.375.095,4.054.169,66.984.427,21.748.846,8.700.643,4.997.686.470,66.878
Avaaaaa,,61942164,63.688.918,591.519.827,56.745.932,4.415.797,5.177.652,2.382.396,32.464.996,12.305.091,3.787.385,1.581.016.785,49.065
Snakepoop,,31458301,63.606.107,140.253.783,10.604.659,109.073,37.864,105.805,6.730.532,3.621.385,3.232.352,624.416.021,23.003
云 Akki,,25782731,63.539.069,1.154.301.624,115.045.471,26.384.189,808.192,1.987.028,57.786.095,28.079.967,8.094.301,16.546.561.593,121.860
phārāoh,,16322397,63.457.414,568.269.279,54.010.298,3.824.045,1.855.927,4.244.989,33.489.408,10.595.929,6.579.026,4.516.997.902,58.455
亗 KITANA 亗,,27321846,63.444.298,1.590.729.545,107.903.888,2.650.413,214.376,217.610,50.752.951,54.068.538,13.182.026,6.919.832.606,177.577
ᴹʷ Sullen,,73735050,63.213.093,388.784.798,37.223.899,3.064.259,2.115.203,2.098.835,22.336.584,7.609.018,4.041.534,1.548.315.989,65.281
因Princessâ,,3446614,63.149.362,1.185.676.534,104.146.876,20.312.609,1.321.527,1.460.667,44.791.317,36.260.756,12.405.860,1.481.566.961,69.737
ᴵᴬᴹ Siren,,18104713,62.988.406,709.869.259,61.133.944,2.433.163,851.305,3.915.824,38.665.632,15.268.020,7.051.732,6.753.596.799,53.408
因Shimo,,61110543,62.759.767,1.240.731.365,126.794.190,16.414.614,8.642.788,5.812.359,72.157.515,23.766.914,6.652.618,1.128.545.735,111.316
Demon Time Mist,,14259796,62.754.651,1.030.675.035,89.170.169,3.509.064,1.860.727,4.427.922,57.890.904,21.481.552,13.373.411,15.451.606.927,64.626
